Date.and.Time..UTC.,Receiver,Transmitter,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Transmitter.Name,Transmitter.Serial
2018/11/30 08:13,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:14,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:15,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:16,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:19,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:19,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:21,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:22,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:23,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:25,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:25,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:26,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:27,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:28,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:31,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:33,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:36,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:38,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:39,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:40,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:41,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:44,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:47,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:50,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:52,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:53,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 08:59,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 09:00,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 09:01,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 09:02,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 09:04,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
